period,prev_as_of_date,curr_as_of_date,public_date,trade_date,common_sector,weight_before,weight_after,net_weight_change,entry_count,exit_count,accumulation_count,reduction_count,raw_sector_count
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Real Estate,0.01595230,0.01375352,-0.00219878,0,0,0,0,2
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Technology,0.14020996,0.15027476,0.01006480,0,0,0,0,3
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Utilities,0.09249508,0.07668970,-0.01580538,0,0,0,0,2
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Communication Services,0.27361983,0.27730626,0.00368643,0,0,0,0,3
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Consumer Discretionary,0.33494868,0.33358831,-0.00136037,0,0,2,0,5
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Consumer Staples,0.01778258,0.01752706,-0.00025552,0,0,0,0,1
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Financials,0.05019496,0.04623354,-0.00396142,0,0,0,0,3
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Health Care,0.00389185,0.00423303,0.00034118,0,1,0,0,3
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Industrials,0.02293776,0.02126919,-0.00166857,0,0,0,0,3
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Materials,0.05590639,0.05077295,-0.00513344,0,0,1,1,4
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Real Estate,0.01375352,0.01199769,-0.00175583,0,0,0,0,2
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Technology,0.15027476,0.16948079,0.01920603,0,0,0,0,3
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Utilities,0.07668970,0.06759118,-0.00909852,0,0,0,0,2
2023-06-30->2023-09-30,2023-06-30,2023-09-30,2023-11-14,2023-11-15,Communication Services,0.27730626,0.29747052,0.02016426,0,0,1,0,3
