instrument_key,instrument_type,display_name,source_ref,requested_symbol,resolved_symbol,date,open,high,low,close,adjusted_close,volume,dividend_amount,timezone
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2016-07-29,705.1000,803.9400,699.0000,791.3400,39.2410,32667502,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2016-08-31,786.6700,813.8790,785.0400,789.8500,39.1671,28857075,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2016-09-30,791.9800,819.0600,783.5000,804.0600,39.8717,31576994,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2016-10-31,802.5500,839.0000,796.2300,809.9000,40.1613,35391730,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2016-11-30,810.8700,816.0400,743.5900,775.8800,38.4743,48353316,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2016-12-30,778.5500,824.3000,753.3600,792.4500,39.2960,34356689,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2017-01-31,800.6200,867.0000,796.8900,820.1900,40.6716,36840255,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2017-02-28,824.0000,853.7900,812.0510,844.9300,41.8984,26492197,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2017-03-31,851.3800,874.4200,824.3000,847.8000,42.0407,34553208,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2017-04-28,848.7500,935.9000,834.6000,924.5200,45.8451,28152403,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2017-05-31,924.1500,999.6000,920.8000,987.0900,48.9478,34853054,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2017-06-30,990.9600,1008.6100,929.6000,929.6800,46.1010,43247076,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2017-07-31,933.2200,1006.1900,915.3100,945.5000,46.8855,40338583,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2017-08-31,947.8100,957.1950,918.6000,955.2400,47.3684,31859046,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2017-09-29,957.4700,975.8100,924.5101,973.7200,48.2848,28940676,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2017-10-31,975.6500,1063.6200,961.9500,1033.0400,51.2264,35135039,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2017-11-30,1036.3200,1080.0000,1028.6600,1036.1700,51.3816,27895294,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2017-12-29,1030.4100,1086.4900,1002.3200,1053.4000,52.2360,29093692,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2018-01-31,1053.0200,1198.0000,1053.0200,1182.2200,58.6239,31746835,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2018-02-28,1175.9900,1187.4500,997.0000,1103.9200,54.7412,48581820,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2018-03-29,1109.5400,1178.1600,984.0000,1037.1400,51.4297,50738448,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2018-04-30,1027.6200,1097.5100,994.2500,1018.5800,50.5093,49252199,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2018-05-31,1016.3000,1118.1500,1007.8900,1100.0000,54.5468,37036543,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2018-06-29,1112.8700,1201.4900,1106.0700,1129.1900,55.9943,40184605,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2018-07-31,1115.3500,1291.4400,1106.6000,1227.2200,60.8554,41806085,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2018-08-31,1239.1100,1271.9600,1204.0000,1231.8000,61.0825,34298428,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2018-09-28,1222.5200,1227.8700,1151.5000,1207.0800,59.8567,35927191,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2018-10-31,1213.0000,1224.5200,1007.2000,1090.5800,54.0797,56549878,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2018-11-30,1091.4000,1109.9300,1002.2100,1109.6500,55.0253,39313400,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2018-12-31,1132.1600,1135.0000,977.6600,1044.9600,51.8175,42869863,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2019-01-31,1027.2000,1127.6700,1022.3700,1125.8900,55.8306,34860110,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2019-02-28,1122.2900,1154.0000,1093.5900,1126.5500,55.8634,32610016,0.0000,
mirror::GOOGL,mirror_equity,Alphabet Inc,Alphabet Inc,GOOGL,GOOGL,2019-03-29,1131.0000,1236.4400,1130.2000,1176.8900,58.3596,33186195,0.0000,
